[云贝推歌精选] 云贝每周听友推歌精选,清新-流行-华语,介绍：云贝推歌你的热爱值得被听见每周听友推歌实力精选,5739,1776861,50,59
[快乐工作指南] 烦恼清空，快乐办公,华语-工作-快乐,介绍：生活似乎并没有一帆风顺。想对一直以来默默拼搏的你，说一声辛苦啦。休息时间记得多笑笑~,8930,2711922,30,53
[闽南语唱片行] 唱在嘴边，动情在心尖,华语-经典,介绍：闽南经典，劲歌载舞。回味经典，听爱情的愁苦，诉说对命运的不屈服，唱在嘴边，动情在心尖~,3784,1067427,25,18
[听·莫文蔚] 慢慢喜欢你，从这首歌起,华语-流行,介绍：你说她性感，她就出其不意挑战“火鸡姐"这样开拓戏路的角色;你说她只是很会唱歌，她就交出一张包办 作曲、质感高级的《拉活..莫文蔚》， 还立刻揽下金曲奖“最佳专辑”。莫文蔚比我们想象得更百变、立体，就如同她在香港影坛留下的各色形象一般;再探身瞧一眼台湾乐坛，你又能听到莫文蔚内涵丰富、回味悠长的内在世界。,5149,1254916,50,5
[华语速爆新歌] thome的专属浪漫属于《YOU》,华语,介绍：优质华语新歌，网易云音乐每周精选推荐。本期封面：thomeboydontkill,373万,1076211968,20,60456
[听·任贤齐] 高歌的人不彷徨,华语-流行,介绍：21岁玩音乐，30岁才出道的“平民歌王”-任贤齐。想必你也曾反复听一曲《对面的女孩看过来》。他的歌曲曾经风靡一时，是很多80后，90后的青春回忆，已56岁的他如今仍然活跃在娱乐圈，国内很多综艺依旧可以看见他的踪影。,2783,762441,50,10
[写词高手] 中文说唱里的神来之笔,华语-说唱,介绍：用Wordplay蕴藏深义，用灵感写出Punchline，中文说唱存在的意义在于把所见所听化为所想所做，用坚定有力的歌词，表达我们的态度，让更多人感受到中文说唱的力量。,4541,1060893,70,31
[流行点唱机] 2010年代华语热播 每日30首,流行-KTV-华语,介绍：转眼2010年代 已经成为过去记忆中的十年 热播的华语流行你曾听过哪些 会唱哪些让流行点唱机 带你一起重温,25万,64490692,30,355
[真实说唱派] 让歌里的故事诉说心事,华语-说唱,介绍：在哈利波特的世界里，只要三滴吐真剂，就能让你说出内心深处的秘密，当rapper们喝下吐真剂，他们会说出什么样的故事呢？,1355,480592,71,11
[听·张杰] 秋天的童话从这里开始,华语-流行,介绍：出道十八年，张杰的歌声已然成为华语乐坛不可或缺的一部分。无论是《看呐看》的小幸福还是《敬吾辈》的大爱，他的音乐总是能准确表达。在这片星空下一起聆听张杰的歌，感受从成长到成熟的故事。,5081,1085226,50,35
[台湾新发现] 台语歌后曹雅雯再发专辑以《禁》述欲,华语-另类/独立-流行,介绍：来自中国台湾歌手的最新&冷门作品收藏订阅，听点新鲜的,7986,2074576,50,95
